Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904731863,BOONE,ZIONSVILLE,5/30/25,2025,Pedalcyclist,CEDAR ST. & 2ND ST.,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.95135905,-86.26298516,MINOR BLEEDING,Other
904733559,JOHNSON,GREENWOOD,5/30/25,2025,Pedestrian,WORTHSVILLE RD & US 31,PEDESTRIAN ACTION,LEFT TURN,NON-INCAPACITATING,DARK (NOT LIGHTED),RAIN,WET,39.5866252,-86.10187434,COMPLAINT OF PAIN,Other
904733678,HAMILTON,CARMEL,5/31/25,2025,Pedestrian,E. 96TH STREET,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.92743861,-86.13546554,NONE VISIBLE,Other
904738959,HENDRICKS,BROWNSBURG,5/22/25,2025,Pedalcyclist,EAST NORTHFIELD DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.85662046,-86.38534244,NONE VISIBLE,Other
904740072,HAMILTON,CARMEL,5/29/25,2025,Pedalcyclist,N PENNSYLVANIA ST & OLD MERIDIAN ST ,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,UNKNOWN,DAYLIGHT,CLEAR,DRY,39.96810715,-86.15503708,COMPLAINT OF PAIN,Other
904734018,JOHNSON,FRANKLIN,6/3/25,2025,Pedalcyclist,YOUNCE ST,PEDESTRIAN ACTION,LEFT TURN,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.50282214,-86.06040036,FRACTURE/DISLOCATION,SSI
904734973,HAMILTON,FISHERS,6/4/25,2025,Pedalcyclist,E 116TH ST & LAKERIDGE DR,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.957693,-85.92083077,COMPLAINT OF PAIN,Other
904737072,JOHNSON,FRANKLIN,6/6/25,2025,Pedestrian,EAST KING ST,UNSAFE BACKING,BACKING CRASH,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.4824334,-86.0176693,COMPLAINT OF PAIN,Other
904738004,HAMILTON,CARMEL,6/8/25,2025,Pedalcyclist,E 126TH ST & GRAY RD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.97129253,-86.08975778,COMPLAINT OF PAIN,Other
904739551,HAMILTON,FISHERS,6/9/25,2025,Pedalcyclist,LOCKERBIE LN & 126TH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.97181676,-85.99188597,CONTUSION/BRUISE,Other
