Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904687742,MARION,INDIANAPOLIS,3/18/25,2025,Pedestrian,VAN BUREN CT & VAN BUREN ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.742318,-86.107171,MINOR BLEEDING,Other
904688380,MARION,INDIANAPOLIS,3/19/25,2025,Pedalcyclist,GAMBEL RD & LYNHURST DR,PEDESTRIAN ACTION,RIGHT ANGLE,NON-INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.696809,-86.250803,COMPLAINT OF PAIN,Other
904688396,MARION,INDIANAPOLIS,3/5/25,2025,Pedestrian,S MERIDIAN ST & MARYLAND,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.7656475,-86.158156,COMPLAINT OF PAIN,Other
904689041,MARION,INDIANAPOLIS,3/21/25,2025,Pedestrian,FALLS CANYON DR,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.7637393,-85.986772,NONE VISIBLE,Other
904689089,MARION,INDIANAPOLIS,3/13/25,2025,Pedalcyclist,SHENANDOAH DR & GALESTON DR,PEDESTRIAN ACTION,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.793499,-86.008646,CRUSH INJURY,SSI
904689898,MARION,INDIANAPOLIS,3/21/25,2025,Pedestrian,E WASHINGTON ST & S BRADLEY AVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.76923,-86.10107,ABRASION,Other
904690030,MARION,INDIANAPOLIS,3/14/25,2025,Pedalcyclist,E 46TH STREET & MONON TRAIL,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.839684,-86.140445,ABRASION,Other
904690085,MARION,INDIANAPOLIS,3/22/25,2025,Pedestrian,W 16TH ST & SHARON AV,FAILURE TO MAINTAIN LANE,RAN OFF ROAD,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.787884,-86.207861,FRACTURE/DISLOCATION,SSI
904690107,MARION,INDIANAPOLIS,3/22/25,2025,Pedestrian,N. COLLEGE AVE. & E. MICHIGAN ST.,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.77382,-86.145382,COMPLAINT OF PAIN,Other
904690760,MARION,INDIANAPOLIS,3/18/25,2025,Pedestrian,E HANNA AV & S NEW JERSEY ST,PEDESTRIAN ACTION,RIGHT ANGLE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.707913,-86.15057,CRUSH INJURY,SSI
904691181,MARION,INDIANAPOLIS,3/25/25,2025,Pedestrian,617 INDIANA  AVE  & N BLACKFORD ST,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DAWN/DUSK,CLEAR,DRY,39.776361,-86.167259,NONE VISIBLE,Other
904691652,MARION,INDIANAPOLIS,3/26/25,2025,Pedalcyclist,WINTON DR,ANIMAL/OBJECT IN ROADWAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.883849,-86.246638,UNCONSCIOUSNESS,SSI
904691675,MARION,INDIANAPOLIS,3/26/25,2025,Pedestrian,2601 N BUTLER & 2601 N BUTLER ,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.8055998,-86.079867,MINOR BLEEDING,Other
904693054,MARION,INDIANAPOLIS,3/29/25,2025,Pedestrian,E. 75TH ST. & SHADELAND AV.,PEDESTRIAN ACTION,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,RAIN,WET,39.890698,-86.045315,COMPLAINT OF PAIN,Other
904693093,MARION,INDIANAPOLIS,3/30/25,2025,Pedalcyclist,SHELBY ST & E NAOMI ST,FAILURE TO MAINTAIN LANE,REAR END,,DAYLIGHT,RAIN,WET,39.742335,-86.139774,,Other
904693109,MARION,INDIANAPOLIS,3/30/25,2025,Pedalcyclist,N ALABAMA ST & E MICHIGAN ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.774467,-86.152293,SEVERE BLEEDING,SSI
904693710,MARION,INDIANAPOLIS,3/26/25,2025,Pedestrian,SIEAR TERRACE & APPLETON DR,PEDESTRIAN ACTION,NON-COLLISION,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.648686,-86.117995,FRACTURE/DISLOCATION,SSI
904694484,MARION,INDIANAPOLIS,4/1/25,2025,Pedestrian,N SHADELAND AVE & 10TH STREET ,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.7803113,-86.0453221,FRACTURE/DISLOCATION,SSI
904695274,MARION,INDIANAPOLIS,4/1/25,2025,Pedestrian,RAYMOND,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.746153,-86.185285,MINOR BLEEDING,Other
904696680,MARION,INDIANAPOLIS,4/4/25,2025,Pedestrian,N SHORTRIDGE RD & 200 BLOCK,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DARK (NOT LIGHTED),CLOUDY,WET,39.773802,-86.040555,MINOR BLEEDING,Other
904696888,SHELBY,,4/4/25,2025,Pedestrian,PONCIANNI AVE,ACCELERATOR FAILURE OR DEFECTIVE,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DAYLIGHT,RAIN,WET,39.504443,-85.800034,ABRASION,Other
904697170,MARION,INDIANAPOLIS,4/6/25,2025,Pedestrian,N ARLINGTON AVE & LOWELL AVE ,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,LEFT TURN,UNKNOWN,DARK (LIGHTED),CLEAR,DRY,39.7732608,-86.0641146,COMPLAINT OF PAIN,Other
904697793,MARION,INDIANAPOLIS,4/7/25,2025,Pedestrian,MADISON AVE,UNSAFE BACKING,BACKING CRASH,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.640719,-86.115039,COMPLAINT OF PAIN,Other
904699373,MARION,INDIANAPOLIS,4/10/25,2025,Pedestrian,MICHIGAN STREET & UNIVERSITY BLVD,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.774518,-86.175484,COMPLAINT OF PAIN,Other
904699581,MARION,INDIANAPOLIS,3/20/25,2025,Pedalcyclist,EAST & WABASH,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DAWN/DUSK,CLEAR,DRY,39.768985,-86.148949,COMPLAINT OF PAIN,Other
904699699,MARION,INDIANAPOLIS,4/11/25,2025,Pedestrian,800  & BROAD RIPPLE AVENUE,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.869759,-86.144174,CONTUSION/BRUISE,Other
904699834,MARION,INDIANAPOLIS,3/28/25,2025,Pedalcyclist,W NEW YORK ST & N WEST ST,DISREGARD SIGNAL/REG SIGN,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.771555,-86.167118,,Other
904700665,MORGAN,,4/13/25,2025,Pedestrian,N CHERRY ST & W. CUNNINGHAM ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.431441,-86.432336,COMPLAINT OF PAIN,Other
904701183,MARION,INDIANAPOLIS,4/12/25,2025,Pedestrian,E WASHINGTON ST & S SHERMAN DR,PEDESTRIAN ACTION,RIGHT ANGLE,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.769118,-86.102139,NONE VISIBLE,Other
904701304,MARION,INDIANAPOLIS,4/10/25,2025,Pedalcyclist,1700 E TROY & TINDALL ST,PEDESTRIAN ACTION,RIGHT ANGLE,FATAL,DAYLIGHT,CLEAR,DRY,39.723054,-86.129347,INTERNAL,Fatal
904701327,MARION,INDIANAPOLIS,4/11/25,2025,Pedestrian,16TH STREET & SENATE BLVD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.788426,-86.165788,COMPLAINT OF PAIN,Other
904702646,MARION,INDIANAPOLIS,4/15/25,2025,Pedalcyclist,N KESTONE AVE & OLD ALLISONVILLE RD,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.835524,-86.121689,MINOR BLEEDING,Other
904702801,MARION,INDIANAPOLIS,4/11/25,2025,Pedalcyclist,W 34TH ST & FALCON DR,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.816742,-86.231738,COMPLAINT OF PAIN,Other
904702852,MARION,INDIANAPOLIS,4/16/25,2025,Pedestrian,W VERMONT ST & SENATE AVE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.772796,-86.163229,CONTUSION/BRUISE,Other
904702945,MARION,INDIANAPOLIS,4/16/25,2025,Pedestrian,EAST 52ND STREET & PRIMROSE AVENUE,VIEW OBSTRUCTED,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.847563,-86.132586,COMPLAINT OF PAIN,Other
904705484,MARION,INDIANAPOLIS,4/19/25,2025,Pedestrian,ROUND LAKE RD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NON-INCAPACITATING,DAWN/DUSK,RAIN,WET,39.842151,-86.117034,COMPLAINT OF PAIN,Other
904705920,MARION,INDIANAPOLIS,4/20/25,2025,Pedalcyclist,E. 42ND STREET & GUILFORD AVE ,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.832355,-86.142417,CRUSH INJURY,SSI
904705987,MARION,INDIANAPOLIS,4/21/25,2025,Pedestrian,N SHERMAN DR & E MICHIGAN ST,PEDESTRIAN ACTION,RIGHT ANGLE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.7753148,-86.1021987,COMPLAINT OF PAIN,Other
904706780,MARION,INDIANAPOLIS,4/19/25,2025,Pedestrian,E 10TH ST & N RIDGEVIEW DR,FAILURE TO MAINTAIN LANE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.781631,-86.056928,COMPLAINT OF PAIN,Other
904706895,MARION,INDIANAPOLIS,4/23/25,2025,Pedestrian,WASHINGTON & COLE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.755543,-86.241656,COMPLAINT OF PAIN,Other
904707978,MARION,INDIANAPOLIS,4/24/25,2025,Pedestrian,N MERIDIAN ST & E FALL CREEK PKWY N DR,DISREGARD SIGNAL/REG SIGN,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.804065,-86.156585,CONTUSION/BRUISE,Other
904708637,MORGAN,,4/26/25,2025,Pedestrian,HOLDEN ST & OHIO ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.412183,-86.423292,MINOR BLEEDING,Other
904709287,MARION,INDIANAPOLIS,4/25/25,2025,Pedalcyclist,S COLLEGE AVE & E WASHINGTON ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.766852,-86.145687,COMPLAINT OF PAIN,Other
904710461,MARION,INDIANAPOLIS,4/26/25,2025,Pedestrian,N. SHADELAND AVENUE & E. 38TH STREET,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.825715,-86.045957,INTERNAL,SSI
904710717,MARION,INDIANAPOLIS,4/25/25,2025,Pedalcyclist,GEORGETOWN RD & W 71ST ST,PEDESTRIAN ACTION,SAME DIRECTION SIDESWIPE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.884834,-86.243719,FRACTURE/DISLOCATION,SSI
904710767,MARION,INDIANAPOLIS,4/29/25,2025,Pedalcyclist,SENATE BLVD & W 21ST ST,IMPROPER TURNING,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.794445,-86.163128,SEVERE BLEEDING,SSI
904711207,MARION,INDIANAPOLIS,4/26/25,2025,Pedestrian,W WASHINGTON ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.765084,-86.177931,CONTUSION/BRUISE,Other
904712438,MARION,BEECH GROVE,4/28/25,2025,Pedestrian,EMERSON AVE  & SHEAR AVE,PEDESTRIAN ACTION,LEFT/RIGHT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.699826,-86.0826884,FRACTURE/DISLOCATION,SSI
904712054,MARION,INDIANAPOLIS,5/1/25,2025,Pedestrian,E 21ST  & N POST ROAD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.7966753,-86.0094356,MINOR BLEEDING,Other
904713310,MARION,INDIANAPOLIS,5/2/25,2025,Pedestrian,E 46TH ST,UNSAFE BACKING,BACKING CRASH,REFUSED,DAYLIGHT,CLEAR,DRY,39.84085785,-86.11940803,COMPLAINT OF PAIN,Other
904713890,MARION,INDIANAPOLIS,5/4/25,2025,Pedalcyclist,22ND ST & CENTRAL AVE,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAYLIGHT,CLOUDY,WET,39.7975958,-86.14873399,ABRASION,Other
904714367,MARION,INDIANAPOLIS,5/5/25,2025,Pedalcyclist,WISHARD BLVD & RILEY HOSPITAL DR,DISREGARD SIGNAL/REG SIGN,HEAD ON BETWEEN TWO MOTOR VEHICLES,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.77812974,-86.18134359,ABRASION,Other
904717318,MARION,LAWRENCE,5/10/25,2025,Pedestrian,PENDLETON PIKE,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8465886,-86.012919,FRACTURE/DISLOCATION,SSI
904718432,MARION,INDIANAPOLIS,5/10/25,2025,Pedestrian,SOUTHPORT RD  & GRAY RD ,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.6654227,-86.09758693,NONE VISIBLE,Other
904718480,MORGAN,,5/8/25,2025,Pedestrian,RUTH RUSIE & S OHIO STREET,PEDESTRIAN ACTION,LEFT TURN,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.4109422,-86.4233915,COMPLAINT OF PAIN,Other
904718520,MORGAN,,5/9/25,2025,Pedalcyclist,SR 39 BYPASS & SR 67,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.4347746,-86.4510829,CRUSH INJURY,SSI
904719104,MARION,INDIANAPOLIS,5/11/25,2025,Pedalcyclist,HARLAN STREET & MURRY STREET,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.7198842,-86.1230389,MINOR BLEEDING,Other
904719130,MARION,INDIANAPOLIS,5/11/25,2025,Pedestrian,N WEST ST & W NEW YORK ST,PEDESTRIAN ACTION,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.77142695,-86.16676917,CONTUSION/BRUISE,Other
904720436,MARION,INDIANAPOLIS,5/1/25,2025,Pedestrian,I-465 EB,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DARK (LIGHTED),CLEAR,DRY,39.69852982,-86.13776269,NONE VISIBLE,Other
904720573,MARION,INDIANAPOLIS,5/7/25,2025,Pedalcyclist,E RAYMOND ST & S STATE AVE,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,FATAL,DARK (LIGHTED),CLEAR,DRY,39.73757627,-86.13038648,INTERNAL,Fatal
904720578,MARION,SPEEDWAY,5/13/25,2025,Pedestrian,FOUNDERS SQUARE DR,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DAYLIGHT,RAIN,WET,39.80194417,-86.27057426,NONE VISIBLE,Other
904720975,MARION,SPEEDWAY,5/14/25,2025,Pedestrian,COSSELL RD & W 10TH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.77733162,-86.243838,CONTUSION/BRUISE,Other
904721782,MARION,INDIANAPOLIS,5/11/25,2025,Pedestrian,9301 & EAST 38TH ,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.8260839,-86.0047282,COMPLAINT OF PAIN,Other
904722481,MARION,LAWRENCE,5/17/25,2025,Pedestrian,FRANKLIN RD & 50TH STREET,PEDESTRIAN ACTION,RIGHT ANGLE,NON-INCAPACITATING,DARK (LIGHTED),CLOUDY,DRY,39.84561779,-86.02720429,CONTUSION/BRUISE,Other
904723046,MARION,INDIANAPOLIS,5/16/25,2025,Pedestrian,E 86TH STREET,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.91380694,-86.13499929,COMPLAINT OF PAIN,Other
904723124,MORGAN,,5/15/25,2025,Pedalcyclist,6585 N WAVERLY PARK RD,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.5233572,-86.2950339,UNCONSCIOUSNESS,SSI
904723430,MARION,INDIANAPOLIS,5/17/25,2025,Pedestrian,S EAST ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.71295601,-86.14944903,FRACTURE/DISLOCATION,SSI
904723464,MARION,INDIANAPOLIS,5/16/25,2025,Pedestrian,BROAD RIPPLE AVE  & WINTHROP AVE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,POSSIBLE,DARK (LIGHTED),RAIN,WET,39.86973322,-86.14172904,NONE VISIBLE,Other
904723571,MARION,INDIANAPOLIS,5/17/25,2025,Pedestrian,WASHINGTON ST & MERIDIAN ST,PEDESTRIAN ACTION,NON-COLLISION,NOT REPORTED,DARK (LIGHTED),CLEAR,DRY,39.76717177,-86.15818611,NONE VISIBLE,Other
904724077,MARION,INDIANAPOLIS,5/19/25,2025,Pedalcyclist,E 86TH ST & OAKLANDON DR,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.91278646,-85.9569346,COMPLAINT OF PAIN,Other
904724328,MARION,CUMBERLAND,5/19/25,2025,Pedestrian,E WASHINGTON STREET & N HUGO STREET,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.77621529,-85.96632197,ABRASION,Other
904726683,MARION,INDIANAPOLIS,5/15/25,2025,Pedestrian,I-70 WB & I-70 WB,UNSAFE LANE MOVEMENT,REAR END,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.80649967,-86.05815788,ABRASION,Other
904727832,MARION,SPEEDWAY,5/23/25,2025,Pedestrian,GEORGETOWN RD & MCCRAY STREET,PEDESTRIAN ACTION,OPPOSITE DIRECTION SIDESWIPE,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.79614071,-86.23966858,NONE VISIBLE,Other
904728010,MARION,INDIANAPOLIS,5/16/25,2025,Pedestrian,S TIBBS AVE & MINNESOTA ST,PEDESTRIAN ACTION,NON-COLLISION,NOT REPORTED,DARK (NOT LIGHTED),CLOUDY,DRY,39.74287169,-86.21600225,NONE VISIBLE,Other
904728127,MARION,INDIANAPOLIS,5/23/25,2025,Pedestrian,7150 CLEARVISTA DRIVE & 7250 CLEARVISTA DRIVE,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.89959872,-86.04012001,CONTUSION/BRUISE,Other
904728176,MARION,INDIANAPOLIS,5/19/25,2025,Pedalcyclist,E 54TH ST & MONON TRAIL,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.85117104,-86.14063373,COMPLAINT OF PAIN,Other
904728208,MARION,INDIANAPOLIS,5/20/25,2025,Pedestrian,E 10TH ST & N RILEY AV,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DARK (LIGHTED),CLOUDY,DRY,39.78151493,-86.08571566,ABRASION,Other
904728322,MARION,INDIANAPOLIS,5/16/25,2025,Pedestrian,E 10TH STREET & N POST ROAD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.782028,-86.0093444,COMPLAINT OF PAIN,Other
904728471,MARION,INDIANAPOLIS,5/21/25,2025,Pedalcyclist,N EAST ST & E WASHINGTON ST,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,WET,39.76697385,-86.14904514,COMPLAINT OF PAIN,Other
904728503,MARION,INDIANAPOLIS,5/11/25,2025,Pedestrian,SHANNON AVENUE,PEDESTRIAN ACTION,BACKING CRASH,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.7861794,-86.0937777,COMPLAINT OF PAIN,Other
904728650,MARION,INDIANAPOLIS,5/22/25,2025,Pedestrian,KEYSTONE CROSSING ,PEDESTRIAN ACTION,COLLISION WITH ANIMAL OTHER,REFUSED,DAYLIGHT,RAIN,WET,39.91347446,-86.10876687,NONE VISIBLE,Other
904728931,MARION,INDIANAPOLIS,5/23/25,2025,Pedestrian,W 34TH ST & MOLLER RD,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.81644537,-86.25602239,COMPLAINT OF PAIN,Other
904728936,MARION,INDIANAPOLIS,5/18/25,2025,Pedestrian,E 46TH ST & ARLINGTON AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,FATAL,DAYLIGHT,CLEAR,DRY,39.84039668,-86.0629051,INTERNAL,Fatal
904729347,MARION,INDIANAPOLIS,5/2/25,2025,Pedalcyclist,E HANNA AVE,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,REFUSED,DAYLIGHT,CLOUDY,DRY,39.7071623,-86.1423107,NONE VISIBLE,Other
904729441,MARION,INDIANAPOLIS,5/25/25,2025,Pedalcyclist,33RD ST & ARSENAL AVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8159743,-86.1348322,COMPLAINT OF PAIN,Other
904729551,MARION,INDIANAPOLIS,5/26/25,2025,Pedalcyclist,LAKE NORA CT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.91952588,-86.14385238,COMPLAINT OF PAIN,Other
904729561,MARION,INDIANAPOLIS,5/27/25,2025,Pedestrian,PENDLETON PIKE &  N. SHADELAND AVE.,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.8285466,-86.0434284,MINOR BLEEDING,Other
904729741,MARION,INDIANAPOLIS,5/28/25,2025,Pedalcyclist,E 52ND ST & MONON TRAIL XING,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.84700482,-86.14052214,COMPLAINT OF PAIN,Other
904731005,MARION,INDIANAPOLIS,5/29/25,2025,Pedestrian,W WASHINGTON ST & S MCCLURE ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.7600088,-86.22717485,COMPLAINT OF PAIN,Other
904731036,MARION,INDIANAPOLIS,5/29/25,2025,Pedalcyclist,PENNSYLVANIA ST & 11TH ST,IMPROPER TURNING,HEAD ON BETWEEN TWO MOTOR VEHICLES,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.78224513,-86.15576139,UNCONSCIOUSNESS,SSI
904732273,MARION,INDIANAPOLIS,5/29/25,2025,Pedalcyclist,N ILLINOIS,PEDESTRIAN ACTION,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.85628603,-86.16071155,MINOR BLEEDING,Other
904732321,MARION,INDIANAPOLIS,5/30/25,2025,Pedestrian,N FRANKLIN RD & E PENWAY ST,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.82290048,-86.02688168,SEVERE BLEEDING,SSI
904732418,MARION,INDIANAPOLIS,5/31/25,2025,Pedalcyclist,E SOUTH ST & S EAST ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.76127099,-86.14940992,COMPLAINT OF PAIN,Other
904732527,MARION,SPEEDWAY,5/30/25,2025,Pedestrian,GEORGETOWN RD & MCCRAY ST,VIEW OBSTRUCTED,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.79950021,-86.23973422,ABRASION,Other
904733068,MARION,INDIANAPOLIS,5/27/25,2025,Pedestrian,STATE AVE & GIMBER ST,PEDESTRIAN ACTION,RIGHT ANGLE,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.72783087,-86.13026642,FRACTURE/DISLOCATION,SSI
904733206,MARION,INDIANAPOLIS,5/15/25,2025,Pedestrian,I-70 EB & I-70 EB,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.80661938,-86.05821834,INTERNAL,SSI
